PN,DESCRIPTION,COMPONENT PN,CERTIFICATE,QTY,Owner
CS-306-02,"FERRULE, 3/8” CRS",,,15,HZ
A35043-1,防尘盖,,,25,HZ
345-003-9014,FUSE,,,38,HZ
680146-908,垫圈,,,7,HZ
41300747004,钢丝螺套,,,5,HZ
950225040,封圈,,,2,HZ
8005122,封圈,,,1,HZ
AS3582-012,PACKING,,,50,HZ
MS21042L3,NUT     # NUT,,,100,HZ
MS21225-6,"NUT, SELF-LOCKING",,,6,HZ
M83461-1-005,SEAL,,,50,HZ
3UG4616-1CR20,KU,,,1,HZ
M25988/1-382,封圈,,,7,HZ
2603041,止动销,,,6,HZ
B14056-912,封圈,,,30,HZ
42FLW-624,Nut,,,29,HZ
13194-00,球珠,,,10,HZ
33481-004,阀杆销钉,,,80,HZ
12-12456P,RH THREAD DAMPER END,,,1,HZ
89622,GASKET,,,5,HZ
BACC30BL6,护圈,,,10,HZ
3179531-1,电门防护盖,,,2,HZ
MS21250H03012,BOLT    # BOLT,,,2,HZ
MS14145L8,"NUT, SELF-LOCKING",,,2,HZ
MS20470AD4-2,Rivet,,,500,HZ
MS20470AD4-3,Rivet,,,500,HZ
30680-400,COUPLING,,,6,HZ
NAS6205-30,BOLT,,,30,HZ
AN970-5,WASHER,,,90,HZ
NAS7403-5,BOLT# BOLT,,,300,HZ
MS24665-374,"PIN, COTTER",,,296,HZ
DCIN112-01,SPRING,,,5,HZ
MS35207-276,SCREW,,,30,HZ
2207333-2,轴承,,,2,HZ
2207347-2,"BEARING ASSY, JOURNAL",,,1,HZ
680159-011,Hardware,,,10,HZ
MS21042L4,NUTSPL  # NUT SPECIAL,,,50,HZ
MS21075L3,NUT     # NUTPLATE TWO LUG FLOATING,,,165,HZ
MS24665-153,PIN # PIN COTTER CRES,,,191,HZ
MS14145L9,"NUT, SELF-LOCKING",,,4,HZ
NAS1611-112,o-ring,,,5,HZ
A36888,内侧挡油盘,,,5,HZ
MS20427M4-4,RIVET,,,1000,HZ
MS20427M4-5,RIVET,,,1000,HZ
AN818-6D,"NUT, TUBE COUPLING",,,36,HZ
NAS1351-5-32P,SCREW,,,10,HZ
NAS1790C4R4P,BOLT,,,30,HZ
6351,SWITCH,,,70,HZ
2207347-2,"BEARING ASSY, JOURNAL",,,4,HZ
49004-1,WASHER GEAR LANDING RED,,,6,HZ
NAS514P832-5,SCREW - CSK,,,226,HZ
EVT174-00-12,密封圈,,,3,HZ
NSA5067-08-2,NUT,,,1,HZ
A36891,内半轮毂橡胶挡圈,,,5,HZ
3071BPEGPL,LAMP,,,121,HZ
10009072,说明标牌,,,20,HZ
APN3111062-13,拉环,,,59,HZ
AS3208-05,PACKING,,,20,HZ
MS24665-155,PIN # PIN COTTER CRES,,,39,HZ
NAS77A6-015P,"BUSHING, FLANGED",,,9,HZ
NAS76A6-018,BUSHING,,,9,HZ
41320747008,螺套,,,100,HZ
MS24694-S10,SCREW,,,195,HZ
2611972,固定卡环,,,162,HZ
6寸,自粘抛光羊毛盘,,,5,HZ
340036,封圈,,,3,HZ
201278,弹簧,,,3,HZ
2611974,支撑环,,,120,HZ
2602738,气门杆组件,,,3,HZ
MS9385-07,PACKING,,,55,HZ
NAS1611-112A,O-RING,,,45,HZ
553044,密封垫,,,4,HZ
56-1050,"Retainer, Grease (Outer)",,,2,HZ
DK120/90,ULB,,,1,HZ
B0206001AG5-5,RIVET,,,100,HZ
859749-001,SPRING,,,60,HZ
MS24693S272,螺钉,,,700,HZ
S9257-19B0438,衬套,,,1,HZ
2603041,止动销,,,3,HZ
2609096,PLUG,,,1,HZ
2610595,大封圈,,,1,HZ
M83248-1-011,磁堵胶圈,,,121,HZ
CL-4-BLPT-0.50,PIN,,,1,HZ
AS3582-013,SEAL,,,118,HZ
BACC63BP18D14PN,PLUG-CONDUCTIVE,,,2,HZ
A35816,液压油标牌,,,10,HZ
NAS6605D18,BOLT,,,6,HZ
BT8-20,封圈,,,1,HZ
2611018,螺帽,,,220,HZ
53100578-1,封圈,,,3,HZ
CR3213-4-02,铆钉,,,30,HZ
412A1605-41SXY,空气过滤器,,,1,HZ
778000SXY,水滤,,,1,HZ
35240130-4,冲灌接头,,,6,HZ
2610133,螺帽,,,20,HZ
49004-1,WASHER GEAR LANDING RED,,,18,HZ
326968-1,BEARING,,,1,HZ
40725,标识标牌,,,5,HZ
A36890,内半轮毂挡油环,,,9,HZ
62695-16,FRANGIBLE LINK,,,4,HZ
62695-18,FRANGIBLE LINK,,,4,HZ
NAS1398C4-4,RIVET,,,70,HZ
M83485-1-013,密封圈,,,3,HZ
33440018-3,"DISC,RUPTURE",,,3,HZ
017460-000(017496-000),"Cell, VP170KH",,,1,HZ
019858-000,"Cell, VHP430KH-3(V09052)",,,1,HZ
D38999/20MD19SN,CONNECTOR,,,4,HZ
MS16625-4137,RING-RETAINING,,,6,HZ
S8990-011,密封圈,,,130,HZ
BACJ40AB20-7,JUMPER,,,1,HZ
MS20995C25,保险丝,,,1,HZ
AS3582-008,PACKING,,,100,HZ
M83248-1-905,传感器封圈,,,88,HZ
3163594-6,螺钉,,,1,HZ
68-1602,O-RING,,,8,HZ
NAS1149F0332P,WASHER,,,365,HZ
NAS1611-112A,O-RING,,,5,HZ
MS35206-226,Screw,,,286,HZ
68-1372,安全活门封圈,,,1,HZ
BACB30MR4HK2,螺钉,,,5,HZ
2612726,螺钉,,,30,HZ
3174502-1,"RETAING,DIAPHRAGM",,,1,HZ
MS27641-3,BEARING,,,17,HZ
CR3522-4-04,RIVET,,,192,HZ
SSR-3ZZW20RA7P811LY217P,"bearing , ball",,,120,HZ
3502635-1,BEARING-BALL,,,3,HZ
2205785-4,SHIM,,,5,HZ
MS20995C15,LOCKWIRE,,,5,HZ
B0207004M5-04,Rivet,,,800,HZ
2205785-1,航空器材,,,5,HZ
3502224-1,航空器材,,,3,HZ
MS24665-304,航空器材,,,100,HZ
663700-138,PACKING PREFORMED,,,17,HZ
MS24665-300,COTTER PIN,,,458,HZ
46123-1,RING RETAINING,,,2,HZ
ASNA2532-3,NUT,,,7,HZ
NAS1398D5-2,BLIND RIVET,,,10,HZ
NAS1149C0332R,WASHER,,,250,HZ
8050917-0001/8050917-0006,Paper,,,5,HZ
CF03GTS2185,Lamp,,,20,HZ
100-004-955-018,MAIN,,,1,HZ
NAS1398D5-5,抽芯柳钉,,,50,HZ
NAS1399C5-8,抽钉,,,80,HZ
NAS1612-3,大易熔塞封圈,,,35,HZ
68-1681,活塞封圈,,,20,HZ
BAC27DCC2771,标牌,,,1,HZ
2606799-229,封圈,,,116,HZ
549-49,RING,,,3,HZ
A38283,衬套,,,1,HZ
A25-1032,ANVIL,,,2,HZ
A27-1032,ANVIL,,,2,HZ
C2-1032,Chuck,,,2,HZ
33440018-3,"DISC,RUPTURE",,,12,HZ
446724,"HOSE ,SUPPLY",,,1,HZ
J221P903,PACKING-PREFORMED O-RING,,,5,HZ
A36913,调节杆,,,7,HZ
70495,LANYARD,,,1,HZ
R6KE229WB,"COVER,CONNECTOR",,,1,HZ
CR2663-3-03,BLIND RIVET,,,80,HZ
ABS0114V3-4,BOLT,,,16,HZ
2205775-1,转子,,,1,HZ
NAS1169C10L,WASHER  # WASHER DIMPLED 100,,,500,HZ
A225400454-204HY,厕所抽气汽滤,,,3,HZ
213A6404-1HY,空气过滤器,,,3,HZ
412A1605-41HY,空气过滤器,,,5,HZ
NAS561P5-12,PIN,,,62,HZ
MS35265-22,螺钉,,,26,HZ
ASNA0363T0504,钛合金凸头拉铆,,,50,HZ
MS20002C7,垫片,,,88,HZ
NAS1351-3-16P,小螺杆,,,37,HZ
J221P028,PACKING -,,,42,HZ
AN960-10L,"Washer, Flat",,,375,HZ
AN3-5A,Bolt,,,99,HZ
NAS1149D0363K,WASHER  # WASHER,,,174,HZ
AN3-7A,小螺杆,,,84,HZ
MS24678-12,小螺杆,,,9,HZ
MS21209F4-20,外侧螺纹衬套,,,60,HZ
NAS1351-3-18P,小螺杆,,,20,HZ
NAS1102E4-6,驱动块固定螺钉,,,17,HZ
NAS1102-3-20,配重螺杆,,,57,HZ
NAS1351C3-14,散热片小螺杆,,,26,HZ
NAS1102-3-26,配重螺杆,,,26,HZ
ASNA0078E403,拉铆,,,20,HZ
ASNA0078E404,拉铆,,,40,HZ
234-019-9101,"COUPLING,V-BAND",,,1,HZ
NAS1149CN432R,WASHER,,,1000,HZ
SACV11593-212,BUFFER,,,70,HZ
R8KBFD579001,SENSOR BOARD ASSEMBLY,,,5,HZ
M83461-1-005,SEAL,,,35,HZ
A2577117320400,PLATE-COWER,,,1,HZ
A2577114121400,SPRING-TORSION,,,4,HZ
2-017E3609-70,O-RING,,,5,HZ
9GD200664-01,O-RING,,,4,HZ
768241G1,PISTON AND SLIPPER ASSEMBLY,,,1,HZ
2607027-011,封圈,,,200,HZ
A35079,膨胀球,,,2,HZ
MS28778-4,密封圈,,,5,HZ
NAS1612-4A,O-RING,,,21,HZ
M83461-1-129,"PACKING,PREFORMED",,,9,HZ
M83461-1-125,"PACKING, PREFORMED",,,42,HZ
MS24694S56,SCREW,,,425,HZ
MS24693S33,SCREW,,,10,HZ
A35909,垫片,,,3,HZ
MS24665-86,"Pin, Cotter",,,688,HZ
MS24665-151,销子,,,113,HZ
DIN125AM5A2,"Washer, Plain",,,47,HZ
MS14145L5,"NUT     # Nut, NLG",,,5,HZ
MS24665-153,PIN # PIN COTTER CRES,,,100,HZ
MS24665-302,PIN     # PIN      COTTER CRES,,,351,HZ
MS24665-370,PIN     # PIN      COTTER CRES,,,102,HZ
NAS5602-9,"SCREW, CSK HD",,,100,HZ
CF03-ATS-2185,"BULB,AMBER",,,52,HZ
097-00134-0000,电容,,,39,HZ
NAS1423-5,NUT,,,106,HZ
MS24665-372,"PIN, COTTER",,,211,HZ
514-25,封圈,,,4,HZ
2612885,WASHER,,,200,HZ
2-014V747-75,PACKING,,,200,HZ
M310,POSITIONER-M310,,,1,HZ
33440018-3,"DISC,RUPTURE",,,20,HZ
AS3582-010,胶圈,,,113,HZ
AS3582-012,PACKING,,,75,HZ
AN3-6A,螺栓,,,151,HZ
AN3-3A,Bolt,,,121,HZ
AN3H7A,小螺杆,,,9,HZ
AN3-10A,小螺杆,,,5,HZ
AN3H10A,小螺杆,,,4,HZ
05DU06,衬套,,,16,HZ
08DU06,衬套,,,10,HZ
AN4C7A,螺栓,,,38,HZ
MS28778-4,密封圈,,,20,HZ
MS21042L3,NUT     # NUT,,,47,HZ
3180680-1,弹簧,,,1,HZ
MS17826-8,螺母,,,12,HZ
14C0125-18,销钉,,,1,HZ
MS35338-136,垫片,,,12,HZ
MS35338-138,"WASHER,LOCK",,,22,HZ
MS24665-155,PIN # PIN COTTER CRES,,,167,HZ
BACB30NN4K10,螺栓,,,1,HZ
BACN10YR06CD,螺母,,,4,HZ
MS9581-10,锁片,,,59,HZ
10321-3,电容,,,4,HZ
MS24665-300,COTTER PIN,,,175,HZ
3180825-1,扭簧,,,2,HZ
25986,柱塞滑靴组件,,,2,HZ
2205957-1,"SEAL,BEARING",,,1,HZ
TR762-02,"Stem, Valve",,,1,HZ
54601,卡圈,,,5,HZ
312173,轴承,,,3,HZ
3503048-50,航空器材,,,2,HZ
BACN10JC4CD,螺母,,,2,HZ
BACB30NN4K7,航空器材,,,73,HZ
209275,球轴承,,,2,HZ
3502130-4,轴承键,,,2,HZ
119238-18,衬套,,,2,HZ
MS24665-372,"PIN, COTTER",,,12,HZ
3502130-9,KEY-BEARING,,,2,HZ
3074302,继电器,,,2,HZ
OL718AS15-297,灯,,,2,HZ
2609087,螺栓,,,11,HZ
MS24665-157,PIN     # PIN-COTTER,,,263,HZ
MS24665-306,PIN     # PIN,,,139,HZ
CCR264SS3-2,Rivet,,,137,HZ
S22225CM040010,航空器材,,,2,HZ
A35043-1,防尘盖,,,2,HZ
2204088-3,封严,,,1,HZ
3502571-1,轴承,,,2,HZ
62676,耳轴,,,1,HZ
M01-1032,Mandrel,,,6,HZ
62840-1,水袋,,,1,HZ
2205438-2,封严,,,1,HZ
BACC47CN2S,PIN-CONTACT,,,74,HZ
K503,AFM8工具头,,,1,HZ
K496-1,AFM8工具头,,,1,HZ
365366-1,轴承,,,1,HZ
389A-20629,轴承,,,1,HZ
155-0367-001,电容,,,1,HZ
M83485-1-015,胶圈,,,14,HZ
M83485-1-136,胶圈,,,14,HZ
M83248/1-231,O-RING,,,14,HZ
MS35489-20,GROMMET,,,4,HZ
2602738,气门杆组件,,,4,HZ
A32936EB,BUSH,,,1,HZ
CS-201-302,Motor Assembly,,,1,HZ
802297,过滤器组件,,,4,HZ
3214-31,Battery,,,1,HZ
A36971,BOLT,,,20,HZ
2708226-6,GASKET,,,1,HZ
319AFL01SA26-12,RYBSTRIP,,,1,HZ
M83461-1-126,"PACKING, PREFORMED",,,72,HZ
M83461-1-015,"PACKING, PREFORMED",,,148,HZ
M83461-1-117,"PACKING, PREFORMED",,,94,HZ
M83461-1-110,"PACKING, PREFORMED",,,74,HZ
3455-124,TUBE,,,4,HZ
AVUSS975A050,FOIL,,,4,HZ
67620904-1,刷架组件,,,2,HZ
357625,摩檫片,,,1,HZ
NAS1149F0332P,WASHER,,,2,HZ
680146-008,O-RING,,,26,HZ
NAS679C08M,螺母,,,3,HZ
754519,SLEEVE,,,1,HZ
M8791/1-012,挡圈,,,53,HZ
680146-916,封圈,,,19,HZ
510195-9,标签，幻灯片标识,,,10,HZ
AN814-4DL,堵头,,,2,HZ
2603041,止动销,,,82,HZ
MS9321-11,垫片,,,151,HZ
MS9058-08,垫圈,,,32,HZ
M83485-1-902,SEALING RING,,,32,HZ
MS9321-10,垫片,,,203,HZ
31-2911-7,电容,,,1,HZ
S9046-2-1-612,绝缘套管,,,6,HZ
M83485-1-012,胶圈,,,72,HZ
M83485-1-120,SEALING RING,,,1,HZ
MS9549-10,垫片,,,250,HZ
357656,摩檫片,,,1,HZ
357690,摩檫片,,,22,HZ
357691,摩檫片,,,9,HZ
357692,摩檫片,,,9,HZ
NAS1611-112A,O-RING,,,160,HZ
216203-0,INFANT LIFE-VEST,,,1,HZ
0851MC,皮托管,,,20,HZ
2612555-620,动盘,,,17,HZ
2612555-700,动盘,,,15,HZ
2612555-660,动盘,,,46,HZ
2206400-2,空气循环机,,,1,HZ
65-90305-66,Filter kit,,,83,HZ
2-1693-1,刹车,,,4,HZ
381800-1005,前缘缝翼作动筒,,,1,HZ
2-1693,刹车,,,2,HZ
GA31256,REAR PLATE,,,1,HZ
357625,摩檫片,,,3,HZ
2612726,螺钉,,,1519,HZ
63-533,螺母,,,1400,HZ
59002170-325,摩擦小片,,,114,HZ
59002170-300,摩擦小片,,,312,HZ
59002170-275,摩擦小片,,,308,HZ
59002170-225,摩擦小片,,,88,HZ
59002170-250,摩擦小片,,,110,HZ
59002170-200,摩擦小片,,,672,HZ
389A-20629,轴承,,,13,HZ
389A20629,BEARING,,,60,HZ
2612523,驱动块垫片,,,153,HZ
2606949,胶木垫,,,39,HZ
240485,Isolation,,,3,HZ
3122427-02,Fi lter Element,,,4,HZ
2610133,螺帽,,,495,HZ
A35171,TUBE,,,80,HZ
NAS1835-3,蜂窝螺母,,,500,HZ
SB3-002-035-01,DOOR,,,4,HZ
D5337134120100,BRACKET,,,1,HZ
25-1881JP-23-2,LENS,,,1,HZ
CS-298-232,"Heating Element, 200V-3600W",,,2,HZ
2617005,调节管,,,16,HZ
2207347-2,"BEARING ASSY, JOURNAL",,,20,HZ
2612513,隔热罩,,,5,HZ
1097-1AA,观察员座椅,,,1,HZ
822-0372-445,大气数据计算机,,,1,HZ
AS3208-05,PACKING,,,2101,HZ
M83248-1-905/AS3208-05,PACKING,,,1,HZ
64505-103,"Module,Age-LImited",,,2,HZ
802300-14,SMOKE HOOD,,,1,HZ
A-A-52094,COTTON THREAD,,,6,HZ
1SE401-3,开关,,,18,HZ
B17CA1042,VALVE,,,1,HZ
62198-047-001,水龙头,,,14,HZ
CS-201-403,电机,,,1,HZ
1095999-1,CONTACTOR-3PDT 100A,,,2,HZ
DV8456701-5,行程限制装置器,,,1,HZ
980-6022-011,RECORDER  VOICE,,,1,HZ
A35171,TUBE,,,140,HZ
102AH2AG,TEMPERATURE,,,1,HZ
704A46580148,CONDITIONING UNIT,,,1,HZ
174660-08,B/E Aerospace Inc,,,1,HZ
LM522549-20629,轴承,,,7,HZ
LM330448-20629,轴承,,,2,HZ
LM330410-20629,轴承,,,1,HZ
A35694,封圈,,,9,HZ
65-90305-66,Filter kit,,,6,HZ
1011535-003,ULTRALOC,,,4,HZ
M229349-20629,BEARING CONE INNER,,,5,HZ
A35171,TUBE,,,160,HZ
PLT4S-M76,STRAP,,,200,HZ
ABS-2313 MOD-A-KIT,Emergency BATTERY,,,12,HZ
3A4047-18,调节器保护套,,,39,HZ
234505,门封严,,,3288,HZ
5A3312-50,围板组件,,,1,HZ
TURBONYCOIL 600(QT/CAN),TURBONYCOIL 600,,,48,HZ
M11481,运输袋布片（黄色）,,,4,HZ
1SE401-3,开关,,,833,HZ
ABS-D717-01-100,Battery Pack,,,107,HZ
